probe,connective,cell_high,cell_low,n_high,n_low,auroc
frozen_atomic,AND,TT,TF,200,200,0.9682000000000001
frozen_atomic,AND,TT,FT,200,200,0.95745
frozen_atomic,AND,TT,FF,200,200,0.99935
frozen_atomic,AND,TF,FF,200,200,0.7503500000000001
frozen_atomic,AND,FT,FF,200,200,0.739125
frozen_atomic,AND,TF,FT,200,200,0.50605
frozen_atomic,AND,TT,mixed,200,400,0.962825
frozen_atomic,AND,mixed,FF,400,200,0.7447374999999999
frozen_atomic,OR,TT,TF,200,200,0.8067500000000001
frozen_atomic,OR,TT,FT,200,200,0.808975
frozen_atomic,OR,TT,FF,200,200,0.89255
frozen_atomic,OR,TF,FF,200,200,0.60725
frozen_atomic,OR,FT,FF,200,200,0.61395
frozen_atomic,OR,TF,FT,200,200,0.49587499999999995
frozen_atomic,OR,TT,mixed,200,400,0.8078625
frozen_atomic,OR,mixed,FF,400,200,0.6106
compound_trained,AND,TT,TF,200,200,0.99795
compound_trained,AND,TT,FT,200,200,0.9950749999999999
compound_trained,AND,TT,FF,200,200,1.0
compound_trained,AND,TF,FF,200,200,0.95015
compound_trained,AND,FT,FF,200,200,0.949525
compound_trained,AND,TF,FT,200,200,0.46495
compound_trained,AND,TT,mixed,200,400,0.9965125
compound_trained,AND,mixed,FF,400,200,0.9498375
compound_trained,OR,TT,TF,200,200,0.96725
compound_trained,OR,TT,FT,200,200,0.968425
compound_trained,OR,TT,FF,200,200,0.999825
compound_trained,OR,TF,FF,200,200,0.99165
compound_trained,OR,FT,FF,200,200,0.993425
compound_trained,OR,TF,FT,200,200,0.461075
compound_trained,OR,TT,mixed,200,400,0.9678374999999999
compound_trained,OR,mixed,FF,400,200,0.9925375000000001
