metric,Qwen2.5-7B,Qwen3-8B
Atomic selected layer,22.0,21.0
Atomic held-out AUROC,0.9995542309378465,0.9995358107286666
facts+neg_facts AUROC,0.905204927538995,0.9415927122753168
Frozen transfer overall,0.68765625,0.7476625
Frozen AND AUROC,0.9458666666666669,0.9750000000000001
Frozen OR AUROC,0.6790833333333334,0.7045833333333333
AND TT-vs-mixed,0.9275375,0.962825
AND mixed-vs-FF,0.6816,0.7447374999999999
OR TT-vs-mixed,0.8336,0.8078625
OR mixed-vs-FF,0.580275,0.6106
AND range/SD,2.606658466780245,3.0223391090912637
OR range/SD,1.509771811612305,1.3434825159734691
OR/AND range ratio,0.5692514746140592,0.45551859701965963
Compound-trained AND AUROC,0.99875,0.997675
Compound-trained OR AUROC,0.9913583333333332,0.9949666666666668
