layer,overall_auroc,affirmative_auroc,negated_auroc,topic_cities_auroc,topic_sp_en_trans_auroc,topic_inventors_auroc,topic_element_symb_auroc,topic_animal_class_auroc
0,0.5319166964460048,0.536557996692653,0.5208776281596976,0.5207777777777778,0.4284105835991744,0.643005540166205,0.4840720221606648,0.5570934256055363
1,0.5553950950666996,0.6083746751712733,0.49063902669501536,0.5503555555555556,0.4285982360668043,0.6414473684210527,0.5242382271468145,0.6600346020761246
2,0.5614000832593455,0.5633120718166784,0.5591188282541932,0.5557222222222221,0.44473634828297987,0.6379847645429363,0.46191135734072025,0.6418685121107266
3,0.6332315309772658,0.6530829199149538,0.6082713205764232,0.6390111111111111,0.5772189904297242,0.6398891966759003,0.5865650969529086,0.6461937716262975
4,0.7279445625384522,0.7204701157571461,0.735441767068273,0.7252111111111111,0.8262338149746667,0.6320983379501386,0.7354570637119112,0.6833910034602075
5,0.7544438754646497,0.7491141034727145,0.7607488778643987,0.7420333333333333,0.8926627885156689,0.6755540166204985,0.7056786703601108,0.6946366782006921
6,0.9168622278874599,0.9194867706118592,0.9143781006378454,0.9286444444444445,0.9930568586976918,0.8045360110803323,0.8268698060941828,0.856401384083045
7,0.9401380042071757,0.927326954878337,0.9530474840538625,0.9553555555555555,0.9911803340213923,0.7946675900277008,0.9217451523545707,0.8979238754325259
8,0.9613580851824153,0.9590420505551618,0.9641359555870541,0.9850333333333333,0.9896791142803527,0.8315443213296398,0.9078947368421053,0.860726643598616
9,0.9919724728394015,0.9891625324828726,0.9940792582093079,0.9995555555555555,0.9971852129855507,0.912915512465374,0.9896121883656509,0.9472318339100345
10,0.9966254176782432,0.9958215213796362,0.9971798960548074,0.9998666666666667,0.9984987802589604,0.9641620498614959,1.0,0.9541522491349481
11,0.9976237930157935,0.9971946609969289,0.9976523742026931,0.9999888888888889,0.99981234753237,0.9679709141274238,1.0,0.9809688581314878
12,0.9983200769227936,0.9981839121190644,0.9982577368296717,0.9999777777777779,1.0,0.9738573407202217,1.0,0.9801038062283737
13,0.9983458652156454,0.9986416253248287,0.9978000236239074,0.9999888888888889,1.0,0.9717797783933518,1.0,0.986159169550173
14,0.9981579790820104,0.9976228443184503,0.9981248523505788,0.9999888888888889,1.0,0.9780124653739612,1.0,0.9792387543252595
15,0.9985079630564285,0.9979033782187574,0.9987154500354359,1.0,1.0,0.9825138504155124,1.0,0.9809688581314879
16,0.9987437417339311,0.9983315615402788,0.9988040396881644,1.0,1.0,0.9844182825484765,1.0,0.986159169550173
17,0.9992226671726084,0.9988335695724073,0.9994536971415072,1.0,1.0,0.9899584487534626,1.0,0.9948096885813149
18,0.999296348009328,0.998892629340893,0.9995422867942357,1.0,1.0,0.9911703601108033,1.0,0.9930795847750865
19,0.9994179213899153,0.9992469879518072,0.9995127569099929,1.0,1.0,0.9923822714681441,1.0,0.995674740484429
20,0.9993737128878836,0.9990845735884715,0.9996013465627215,1.0,1.0,0.9934210526315789,1.0,0.9965397923875432
21,0.9995505468960105,0.999512756909993,0.9996751712733286,1.0,1.0,0.9930747922437673,1.0,0.9982698961937716
22,0.9995542309378465,0.9995127569099929,0.99968993621545,1.0,1.0,0.993421052631579,1.0,0.9965397923875432
23,0.9995431788123386,0.9995275218521144,0.9996456413890857,1.0,1.0,0.9925554016620499,1.0,0.9974048442906575
24,0.9993995011807355,0.9992174580675643,0.9996161115048429,1.0,1.0,0.9887465373961218,1.0,0.9965397923875432
25,0.9992631916328041,0.9989073942830143,0.99968993621545,0.9999777777777779,1.0,0.986668975069252,1.0,0.9948096885813149
26,0.9988616310726824,0.997681904086936,0.9997342310418142,0.9999888888888889,1.0,0.9882271468144044,1.0,0.9844290657439446
27,0.9990642533736612,0.9983463264824002,0.9995865816206,0.9999777777777779,1.0,0.9866689750692521,1.0,0.9913494809688581
