scope,connective,cell,N,mean,std
heldout_test,and,TT,200,7.6760737717984675,3.7986096120016444
heldout_test,and,TF,200,-11.992828161109747,4.670959272043601
heldout_test,and,FT,200,-11.462415555822526,5.716693726469479
heldout_test,and,FF,200,-24.03084099807009,6.307696537209417
heldout_test,or,TT,200,20.76056249099447,6.298740978188631
heldout_test,or,TF,200,8.590981580565286,4.51157536439665
heldout_test,or,FT,200,8.831034916234882,4.692057570785596
heldout_test,or,FF,200,-6.503772762436573,4.528340284614544
full_descriptive,and,TT,1000,8.186043377382983,3.22749488263035
full_descriptive,and,TF,1000,-12.032919405082849,4.920177273443582
full_descriptive,and,FT,1000,-11.817448756480523,5.09578806954952
full_descriptive,and,FF,1000,-24.344939439347144,6.027976178735638
full_descriptive,or,TT,1000,21.38691562490301,6.409770399427644
full_descriptive,or,TF,1000,8.699427930461193,4.01998107076305
full_descriptive,or,FT,1000,8.785297974193199,4.131426240917183
full_descriptive,or,FF,1000,-7.228491938100952,3.734654302068918
