layer,atomic_heldout_auroc,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_TT_vs_FF_auroc,and_TF_vs_FT_auroc,and_dprime_TT_mixed,and_dprime_mixed_FF,and_mu_TT,and_mu_mixed,and_mu_FF,and_upper_gap,and_lower_gap,and_total_range,and_upper_gap_fraction,and_lower_gap_fraction,and_Delta_norm,and_pooled_sd,and_range_over_sd,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_TT_vs_FF_auroc,or_TF_vs_FT_auroc,or_dprime_TT_mixed,or_dprime_mixed_FF,or_mu_TT,or_mu_mixed,or_mu_FF,or_upper_gap,or_lower_gap,or_total_range,or_upper_gap_fraction,or_lower_gap_fraction,or_Delta_norm,or_pooled_sd,or_range_over_sd,and_minus_or_auroc_gap,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
0,0.5319166964460048,0.5010333333333333,0.502175,0.4969375,0.49875,0.49679999999999996,0.03196869799906543,0.03959415622442612,0.0011027711064187451,-0.0019515913387448413,-0.005545270693954174,0.0030543624451635863,0.003593679355209333,0.006648041800372919,0.4594379122273649,0.5405620877726351,-0.0811241755452702,0.09318393471995876,0.07134321833856837,0.4944916666666667,0.499975,0.494875,0.49372499999999997,0.496075,0.034798766899945294,0.042891256630077285,0.0010429354865955653,-0.002361169759670381,-0.006310260092555396,0.003404105246265946,0.003949090332885015,0.007353195579150961,0.462942296260669,0.5370577037393309,-0.07411540747866195,0.09499161452770043,0.07740889146595883,0.006541666666666612,1.1060693960646406,-0.10606939606464061,1.019399049988329,1.0850210190771747
1,0.5553950950666996,0.550775,0.54125,0.534825,0.569825,0.47087500000000004,0.11340834098448405,0.0952984292332204,-0.08281981037835681,-0.09693754364252889,-0.10821638290355275,0.01411773326417208,0.011278839261023854,0.025396572525195935,0.5558912821864399,0.4441087178135601,0.11178256437287985,0.12145686819877688,0.2090995173993107,0.54965,0.5449,0.5363125,0.576325,0.47469999999999996,0.12104589401205657,0.09271129333525038,-0.09896789182256013,-0.1135978806527218,-0.12446723568436749,0.014629988830161672,0.010869355031645683,0.025499343861807355,0.5737398150104683,0.4262601849895317,0.1474796300209366,0.11906412060653555,0.21416480239310373,0.0011250000000000426,1.0040466616709582,-0.00404666167095824,0.9802996106541678,1.024224278739582
2,0.5614000832593455,0.5696333333333333,0.5560125,0.5494749999999999,0.596875,0.47894999999999993,0.1734879983348793,0.1323877195492941,-0.0848626144533063,-0.11190031382265289,-0.13339067852922976,0.027037699369346593,0.021490364706576864,0.04852806407592346,0.5571559443839628,0.4428440556160372,0.11431188876792561,0.15911863459972325,0.30498039527551263,0.562025,0.5597875,0.544125,0.597825,0.474125,0.15948399444966843,0.10553638928593621,-0.13491603586397005,-0.15827741693401573,-0.17541009068001032,0.023361381070045678,0.017132673745994587,0.040494054816040265,0.5769089111024739,0.4230910888975261,0.1538178222049478,0.15461020981013024,0.2619106129263337,0.007608333333333328,0.8344461207577997,0.16555387924220033,0.9716662677446023,0.8587785214512867
3,0.6332315309772658,0.5458083333333333,0.5286375,0.5503875,0.58015,0.4938,0.11347580104534077,0.1712196248478056,-0.3069498954601819,-0.34859103319948603,-0.4096899782831523,0.04164113773930411,0.061098945083666256,0.10274008282297037,0.4053056664462226,0.5946943335537774,-0.18938866710755478,0.3619499241511073,0.2838516489924123,0.5477416666666666,0.5236500000000001,0.539925,0.563375,0.5071500000000001,0.09404864696917872,0.13340708915612615,-0.47381843258565637,-0.511509500549067,-0.5645543146416648,0.037691067963410596,0.05304481409259787,0.09073588205600847,0.4153931951655582,0.5846068048344418,-0.16921360966888357,0.39919949122851905,0.2272945834093444,-0.0019333333333332314,0.883159518299726,0.11684048170027395,1.102913592715275,0.8007513227989748
4,0.7279445625384522,0.5349999999999999,0.5200125,0.5459875000000001,0.564975,0.5062500000000001,0.09400104005960708,0.1512267981010083,-0.2062179382321623,-0.2770112324692593,-0.38272997378469387,0.07079329423709699,0.10571874131543457,0.17651203555253156,0.4010678026316697,0.5989321973683304,-0.19786439473666065,0.7266118069646162,0.24292481055310894,0.5644,0.5273749999999999,0.5562374999999999,0.580725,0.506625,0.1264058090363061,0.18679825102278044,-0.24168611446838448,-0.33568568932724574,-0.46364520623160393,0.09399957485886126,0.1279595169043582,0.22195909176321946,0.4234995472009667,0.5765004527990333,-0.15300090559806656,0.7149426353843368,0.3104572042257619,-0.029400000000000093,1.2574728463610203,-0.2574728463610203,0.9839402945721089,1.277997103378985
5,0.7544438754646497,0.5489083333333333,0.5353125,0.54235,0.5761000000000001,0.496225,0.12198374117797893,0.13532776538281835,-0.951372048936357,-1.0622426843761168,-1.1779919950448468,0.11087063543975983,0.11574931066872995,0.2266199461084898,0.4892359977293558,0.5107640022706442,-0.021528004541288483,0.8825200804417103,0.2567872971174369,0.561175,0.5375375,0.5493499999999999,0.5848249999999999,0.49835,0.132281998356113,0.17453370396000364,-0.617516815721945,-0.7514563601079982,-0.9120556684655332,0.13393954438605327,0.160599308357535,0.29453885274358826,0.4547432134620785,0.5452567865379215,-0.09051357307584298,0.9674594493439693,0.30444568291034213,-0.012266666666666648,1.2997040101782729,-0.29970401017827286,1.096246386665498,1.1855947951004349
6,0.9168622278874599,0.6509083333333333,0.6232249999999999,0.5819624999999999,0.706275,0.49324999999999997,0.4313938286883027,0.32970955892354215,-1.342184802629505,-2.320308511879652,-2.993912274344873,0.9781237092501469,0.6736037624652211,1.651727471715368,0.5921822612990364,0.40781773870096355,0.1843645225980729,2.158163718393822,0.7653392824825354,0.6256,0.6164000000000001,0.5897375,0.697325,0.4877,0.4051023029779966,0.34215926091355936,-0.5105237158730818,-1.5516861176140617,-2.3467667278812,1.04116240174098,0.7950806102671382,1.8362430120081181,0.5670068694243052,0.4329931305756948,0.13401373884861045,2.4500513300519917,0.7494712414736029,0.025308333333333266,1.1117106444328404,-0.1117106444328404,1.135248132090462,0.9792666581055904
7,0.9401380042071757,0.65245,0.6181875,0.6127625,0.7209749999999999,0.494875,0.3799863406315284,0.37041835425026215,2.8481540435853763,2.0756077473806833,1.3386631739648334,0.772546296204693,0.73694457341585,1.509490869620543,0.5117926260785508,0.48820737392144925,0.02358525215710154,2.011447282577568,0.7504501274754796,0.6503916666666667,0.6310374999999999,0.6120875000000001,0.7269999999999999,0.4867,0.44926324969306547,0.3938996342198591,3.4620682674496424,2.4859736255714475,1.6684807423211692,0.9760946418781948,0.8174928832502784,1.7935875251284732,0.5442135542330325,0.45578644576696753,0.08842710846606494,2.124559192858316,0.8442163113918404,0.002058333333333273,1.188206938660945,-0.18820693866094507,1.0562340913731534,1.1249465893646937
8,0.9613580851824153,0.6889166666666666,0.6655375,0.5782375000000001,0.7356750000000001,0.48092500000000005,0.5823394613163986,0.29559841734793224,-2.5518720852260044,-3.693658355782999,-4.231095714221814,1.1417862705569948,0.5374373584388148,1.6792236289958096,0.6799489066502673,0.3200510933497327,0.35989781330053455,1.890763522385765,0.8881193280463574,0.6055999999999999,0.636,0.5626749999999999,0.6914500000000001,0.48160000000000003,0.49040085177981907,0.2243299653438371,-0.8267312650251819,-1.622209432422988,-1.971358557704272,0.7954781673978062,0.34914912528128395,1.1446272926790901,0.694966975263998,0.305033024736002,0.3899339505279959,1.5895796341708768,0.7200817549956386,0.0833166666666667,0.6816407731015477,0.3183592268984523,0.8407077962690678,0.8107939240323034
9,0.9919724728394015,0.7261083333333334,0.7009374999999999,0.6075375,0.77645,0.50105,0.6653218818915216,0.3028630229274814,-0.4921381505598421,-1.9398205050396715,-2.596022806672133,1.4476823544798294,0.6562023016324616,2.103884656112291,0.6880996780284337,0.3119003219715663,0.3761993560568674,2.171284493437698,0.9689585415779874,0.5709166666666666,0.57255,0.54765,0.61745,0.497275,0.30432589790049663,0.17990765772582917,1.2448242971182981,0.5143202509250672,0.01459504434108271,0.730504046193231,0.49972520658398445,1.2302292527772154,0.5937950544942207,0.40620494550577935,0.18759010898844128,2.595940019872698,0.47390511466345225,0.15519166666666673,0.584741777170675,0.415258222829325,1.1955780220042294,0.48908709127191236
