replicate,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_total_range,and_pooled_sd,and_range_over_sd,dprime_AND_TT_mixed,dprime_AND_mixed_FF,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_total_range,or_pooled_sd,or_range_over_sd,dprime_OR_TT_mixed,dprime_OR_mixed_FF,and_minus_or_auroc,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
0,0.9358500000000001,0.9139125,0.6895875,11.061013137824165,4.390775422365309,2.519148003216617,1.9025677000513501,0.6810186713293434,0.692725,0.826975,0.5942375,6.383088026089465,4.095820197345302,1.5584395111452038,1.3533118437873795,0.3609688744881223,0.24312500000000004,0.5770798702211012,0.4229201297788988,0.9328238872073501,0.6186375350536307
1,0.9537166666666668,0.9383625,0.6709499999999999,10.7984878334757,3.871339377761732,2.789341563673241,2.2252963403900963,0.6213160541182251,0.6856916666666666,0.8588374999999999,0.5778000000000001,6.117034137427503,3.8323951669439187,1.5961386733261727,1.4844926423073914,0.30503457560233055,0.2680250000000002,0.5664713644872087,0.4335286355127913,0.9899403779886822,0.5722277594516758
2,0.954025,0.93975,0.6883374999999999,11.506984754898422,4.196398695691801,2.7421095061134144,2.1497400224317165,0.669656420121636,0.6547749999999999,0.8265125,0.5593250000000001,5.942371821281846,4.210703483246318,1.41125392584055,1.3339796326446118,0.2644416343893281,0.2992500000000001,0.5164143298923056,0.4835856701076944,1.0034088247070525,0.514659944358247
3,0.9419916666666667,0.92355,0.6763125000000001,10.753068071342522,4.1810209032601175,2.5718761805179935,2.0147939259552476,0.6301833499984629,0.6841416666666666,0.8523375,0.5824374999999999,6.375640142093198,4.004198417952937,1.5922388145172415,1.4438502440126617,0.32716429653247237,0.25785,0.5929135852012885,0.40708641479871155,0.957708299145478,0.6190962172201282
4,0.9346166666666667,0.9146249999999999,0.6896875,11.035550439083343,4.379041608114032,2.5200834855360372,1.9361424871994666,0.6570904188160784,0.6665999999999999,0.8210625,0.5689,5.577280680674335,3.953861096693092,1.410590950030852,1.2801636832796668,0.27452699369665085,0.2680166666666668,0.5053921606775426,0.49460783932245744,0.9029055785555651,0.5597397697841786
5,0.933325,0.90695,0.6911875,10.87840885190199,4.279451801977389,2.542009901098885,1.8842002711634307,0.7170971440580646,0.6809750000000001,0.8147749999999999,0.5917,6.1942525537852084,4.20172116659193,1.4742178998063897,1.2711654013010691,0.35806487715646423,0.25234999999999985,0.569407956449642,0.43059204355035796,0.9818363101204824,0.5799418401828806
6,0.9331583333333333,0.91435,0.6507375,10.613358201560388,4.50629511491772,2.3552292805736883,1.9084122169391193,0.5296688881401062,0.6857583333333335,0.82675,0.5865875,6.401509370401026,4.2180737318723285,1.5176380920111392,1.3486751465466693,0.3346105988974556,0.24739999999999984,0.6031558766630405,0.3968441233369595,0.9360402779455659,0.6443695756200313
7,0.9468916666666667,0.928475,0.683425,10.959001861388904,4.102735088464962,2.6711453762151662,2.0569982334881427,0.6724242122190521,0.6874583333333333,0.831325,0.5897125,6.305682109208648,4.100941800957799,1.537618043673753,1.3540278318792078,0.3476440775131155,0.2594333333333334,0.5753883600864257,0.4246116399135743,0.9995629043873185,0.5756399697917058
8,0.932625,0.913575,0.6467125,10.827147787145188,4.548090133433631,2.3805921759450954,1.9494891417102107,0.5485715800107143,0.6923250000000001,0.8395375,0.593175,6.883446995062794,4.237786025303891,1.6243026320728835,1.4288929348052213,0.3563419174701336,0.24029999999999996,0.6357581082651652,0.3642418917348348,0.931772656428101,0.6823103295414449
9,0.9439583333333333,0.927325,0.653425,10.312109390851383,4.035770204985549,2.5551775416034395,2.0956643690530514,0.5668501070619014,0.6811083333333334,0.8212749999999999,0.58385,5.900177644591964,3.936050825727033,1.4990095163474255,1.3112810352470485,0.32851335435367834,0.2628499999999999,0.5721601101154374,0.42783988988456256,0.9752911156499127,0.5866557184150729
