probe,connective,comparison,group_high,group_low,n_high,n_low,mean_high,mean_low,sd_high,sd_low,dprime
Atomic,AND,TT_vs_mixed,TT,mixed,200,400,9.905469324266564,1.9033432100810648,3.216357901325532,4.547469263174521,2.031741492684274
Atomic,AND,mixed_vs_FF,mixed,FF,400,200,1.9033432100810648,-0.9335218843946664,4.547469263174521,4.176285815875839,0.6497891435873585
Atomic,AND,TT_vs_TF,TT,TF,200,200,9.905469324266564,1.919950972635113,3.216357901325532,4.352627204117933,2.086680890631583
Atomic,AND,TT_vs_FT,TT,FT,200,200,9.905469324266564,1.8867354475270168,3.216357901325532,4.745203091728926,1.9782191142700638
Atomic,AND,TT_vs_FF,TT,FF,200,200,9.905469324266564,-0.9335218843946664,3.216357901325532,4.176285815875839,2.907959373093856
Atomic,AND,TF_vs_FF,TF,FF,200,200,1.919950972635113,-0.9335218843946664,4.352627204117933,4.176285815875839,0.6689863378910665
Atomic,AND,FT_vs_FF,FT,FF,200,200,1.8867354475270168,-0.9335218843946664,4.745203091728926,4.176285815875839,0.630957560128642
Atomic,AND,TF_vs_FT,TF,FT,200,200,1.919950972635113,1.8867354475270168,4.352627204117933,4.745203091728926,0.0072950679597298075
Atomic,OR,TT_vs_mixed,TT,mixed,200,400,4.988353412596341,0.29098930765966236,2.2777619643751805,4.336579548411895,1.356178307914295
Atomic,OR,mixed_vs_FF,mixed,FF,400,200,0.29098930765966236,-1.1817583162628882,4.336579548411895,4.898633087268511,0.3183527582537724
Atomic,OR,TT_vs_TF,TT,TF,200,200,4.988353412596341,0.34555930888684117,2.2777619643751805,4.136494186442823,1.390445063066885
Atomic,OR,TT_vs_FT,TT,FT,200,200,4.988353412596341,0.23641930643248352,2.2777619643751805,4.537595908394525,1.3236129222184254
Atomic,OR,TT_vs_FF,TT,FF,200,200,4.988353412596341,-1.1817583162628882,2.2777619643751805,4.898633087268511,1.615212337010241
Atomic,OR,TF_vs_FF,TF,FF,200,200,0.34555930888684117,-1.1817583162628882,4.136494186442823,4.898633087268511,0.33688794033358316
Atomic,OR,FT_vs_FF,FT,FF,200,200,0.23641930643248352,-1.1817583162628882,4.537595908394525,4.898633087268511,0.3003616672008474
Atomic,OR,TF_vs_FT,TF,FT,200,200,0.34555930888684117,0.23641930643248352,4.136494186442823,4.537595908394525,0.0251377384884242
Compound,AND,TT_vs_mixed,TT,mixed,200,400,7.6760737717984675,-11.727621858466136,3.7986096120016444,5.22029124735338,4.250412049511164
Compound,AND,mixed_vs_FF,mixed,FF,400,200,-11.727621858466136,-24.03084099807009,5.22029124735338,6.307696537209417,2.1250624137920853
Compound,AND,TT_vs_TF,TT,TF,200,200,7.6760737717984675,-11.992828161109747,3.7986096120016444,4.670959272043601,4.620163115143392
Compound,AND,TT_vs_FT,TT,FT,200,200,7.6760737717984675,-11.462415555822524,3.7986096120016444,5.716693726469479,3.943356105982359
Compound,AND,TT_vs_FF,TT,FF,200,200,7.6760737717984675,-24.03084099807009,3.7986096120016444,6.307696537209417,6.089804656294857
Compound,AND,TF_vs_FF,TF,FF,200,200,-11.992828161109747,-24.03084099807009,4.670959272043601,6.307696537209417,2.169013150583194
Compound,AND,FT_vs_FF,FT,FF,200,200,-11.462415555822524,-24.03084099807009,5.716693726469479,6.307696537209417,2.0879681208040526
Compound,AND,TF_vs_FT,TF,FT,200,200,-11.992828161109747,-11.462415555822524,4.670959272043601,5.716693726469479,-0.10161007415514071
Compound,OR,TT_vs_mixed,TT,mixed,200,400,20.76056249099447,8.711008248400084,6.298740978188631,4.598500394966373,2.185050826397362
Compound,OR,mixed_vs_FF,mixed,FF,400,200,8.711008248400084,-6.503772762436573,4.598500394966373,4.528340284614544,3.3339754724976833
Compound,OR,TT_vs_TF,TT,TF,200,200,20.76056249099447,8.590981580565286,6.298740978188631,4.51157536439665,2.2213247467023094
Compound,OR,TT_vs_FT,TT,FT,200,200,20.76056249099447,8.831034916234882,6.298740978188631,4.692057570785596,2.1479910609505906
Compound,OR,TT_vs_FF,TT,FF,200,200,20.76056249099447,-6.503772762436573,6.298740978188631,4.528340284614544,4.970313773112368
Compound,OR,TF_vs_FF,TF,FF,200,200,8.590981580565286,-6.503772762436573,4.51157536439665,4.528340284614544,3.3395728392170554
Compound,OR,FT_vs_FF,FT,FF,200,200,8.831034916234882,-6.503772762436573,4.692057570785596,4.528340284614544,3.3257547339306406
Compound,OR,TF_vs_FT,TF,FT,200,200,8.590981580565286,8.831034916234882,4.51157536439665,4.692057570785596,-0.052154881597286595
