aggregation,connective,ordering,cell,n_rows
connective_x_cell,and,all,TT,200
connective_x_cell,and,all,TF,200
connective_x_cell,and,all,FT,200
connective_x_cell,and,all,FF,200
connective_x_cell,or,all,TT,200
connective_x_cell,or,all,TF,200
connective_x_cell,or,all,FT,200
connective_x_cell,or,all,FF,200
connective_x_ordering_x_cell,and,AB,TT,100
connective_x_ordering_x_cell,and,AB,TF,100
connective_x_ordering_x_cell,and,AB,FT,100
connective_x_ordering_x_cell,and,AB,FF,100
connective_x_ordering_x_cell,and,BA,TT,100
connective_x_ordering_x_cell,and,BA,TF,100
connective_x_ordering_x_cell,and,BA,FT,100
connective_x_ordering_x_cell,and,BA,FF,100
connective_x_ordering_x_cell,or,AB,TT,100
connective_x_ordering_x_cell,or,AB,TF,100
connective_x_ordering_x_cell,or,AB,FT,100
connective_x_ordering_x_cell,or,AB,FF,100
connective_x_ordering_x_cell,or,BA,TT,100
connective_x_ordering_x_cell,or,BA,TF,100
connective_x_ordering_x_cell,or,BA,FT,100
connective_x_ordering_x_cell,or,BA,FF,100
