probe,connective,cell,n,mean_residual,sd_residual,rmse
Atomic,AND,TT,200,2.5376763851496653,3.2163579013255315,4.090603231116208
Atomic,OR,FF,200,2.3349099224069443,4.898633087268511,5.41557267874948
Atomic,OR,FT,200,-0.522460616590994,4.537595908394525,4.556291566683149
Atomic,OR,TT,200,-0.04607467212044537,2.277761964375181,2.2725275452529763
Atomic,AND,TF,200,-1.1722938047884768,4.352627204117934,4.497211305340545
Atomic,AND,FT,200,-1.2055093298965731,4.745203091728926,4.884426308617285
Atomic,OR,TF,200,-0.4133206141366363,4.136494186442822,4.146789741929675
Atomic,AND,FF,200,0.2497814998750537,4.176285815875839,4.173313695073271
Compound,AND,TT,200,2.2682992904893697,3.7986096120016453,4.416160037940643
Compound,OR,FF,200,1.0102122465293721,4.528340284614544,4.628592138829532
Compound,OR,FT,200,0.9224760579901371,4.692057570785597,4.77035525971532
Compound,OR,TT,200,-2.570540234460957,6.29874097818863,6.788478792612061
Compound,AND,TF,200,-1.9780587752081564,4.670959272043602,5.061767254295937
Compound,AND,FT,200,-1.4476461699209335,5.71669372646948,5.8832698102102166
Compound,OR,TF,200,0.6824227223205397,4.51157536439665,4.55172950418047
Compound,AND,FF,200,1.406472255042192,6.307696537209418,6.44719044481389
