direction,connective,higher_cell,lower_cell,n_higher,n_lower,auroc
perp,AND,TT,TF,200,200,0.999
perp,AND,TT,FT,200,200,0.9967250000000001
perp,AND,TT,FF,200,200,1.0
perp,AND,TF,FF,200,200,0.9252749999999998
perp,AND,FT,FF,200,200,0.9211750000000001
perp,AND,TF,FT,200,200,0.471275
perp,AND,TT,mixed,200,400,0.9978625000000001
perp,AND,mixed,FF,400,200,0.923225
perp,OR,TT,TF,200,200,0.9322
perp,OR,TT,FT,200,200,0.9249749999999999
perp,OR,TT,FF,200,200,0.999725
perp,OR,TF,FF,200,200,0.98445
perp,OR,FT,FF,200,200,0.987075
perp,OR,TF,FT,200,200,0.49987500000000007
perp,OR,TT,mixed,200,400,0.9285874999999999
perp,OR,mixed,FF,400,200,0.9857625000000001
