direction,connective,comparison,group_high,group_low,n_high,n_low,mean_high,mean_low,sd_high,sd_low,dprime
Perpendicular,AND,TT_vs_TF,TT,TF,200,200,7.499674208803017,-11.13538790797325,3.710655871381028,4.534715361535488,4.497720149471787
Perpendicular,AND,TT_vs_FT,TT,FT,200,200,7.499674208803017,-10.600675076844901,3.710655871381028,5.508335249964609,3.8541610607217254
Perpendicular,AND,TT_vs_FF,TT,FF,200,200,7.499674208803017,-22.803977781520516,3.710655871381028,6.192565536413336,5.9363698575644435
Perpendicular,AND,TF_vs_FF,TF,FF,200,200,-11.13538790797325,-22.803977781520516,4.534715361535488,6.192565536413336,2.1499744121517383
Perpendicular,AND,FT_vs_FF,FT,FF,200,200,-10.600675076844901,-22.803977781520516,5.508335249964609,6.192565536413336,2.0823168277921975
Perpendicular,AND,TF_vs_FT,TF,FT,200,200,-11.13538790797325,-10.600675076844901,4.534715361535488,5.508335249964609,-0.10598726214212899
Perpendicular,AND,TT_vs_mixed,TT,mixed,200,400,7.499674208803017,-10.868031492409076,3.710655871381028,5.045846577993516,4.147279754415247
Perpendicular,AND,mixed_vs_FF,mixed,FF,400,200,-10.868031492409076,-22.803977781520516,5.045846577993516,6.192565536413336,2.1131620618574627
Perpendicular,OR,TT_vs_TF,TT,TF,200,200,21.22075406537736,9.652249402119638,6.281243521763455,4.51709695782464,2.1146108262181733
Perpendicular,OR,TT_vs_FT,TT,FT,200,200,21.22075406537736,9.906432475534686,6.281243521763455,4.568979406395783,2.060052643957486
Perpendicular,OR,TT_vs_FF,TT,FF,200,200,21.22075406537736,-5.244771781526663,6.281243521763455,4.596476919265909,4.808671206414249
Perpendicular,OR,TF_vs_FF,TF,FF,200,200,9.652249402119638,-5.244771781526663,4.51709695782464,4.596476919265909,3.2690701434385483
Perpendicular,OR,FT_vs_FF,FT,FF,200,200,9.906432475534686,-5.244771781526663,4.568979406395783,4.596476919265909,3.3061389489160455
Perpendicular,OR,TF_vs_FT,TF,FT,200,200,9.652249402119638,9.906432475534686,4.51709695782464,4.568979406395783,-0.055949107066713244
Perpendicular,OR,TT_vs_mixed,TT,mixed,200,400,21.22075406537736,9.779340938827161,6.281243521763455,4.539199556873218,2.0878916471402373
Perpendicular,OR,mixed_vs_FF,mixed,FF,400,200,9.779340938827161,-5.244771781526663,4.539199556873218,4.596476919265909,3.289043232190817
