probe,probe_label,topic,test_entity_pairs,N,auroc,accuracy,balanced_accuracy
atomic_union_to_compounds,Atomic union → compounds,cities,19,304,0.7494806094182825,0.6019736842105263,0.6019736842105263
atomic_union_to_compounds,Atomic union → compounds,sp_en_trans,18,288,0.6600597993827161,0.5729166666666666,0.5729166666666667
atomic_union_to_compounds,Atomic union → compounds,inventors,25,400,0.593925,0.535,0.535
atomic_union_to_compounds,Atomic union → compounds,element_symb,21,336,0.7803287981859411,0.7351190476190477,0.7351190476190477
atomic_union_to_compounds,Atomic union → compounds,animal_class,17,272,0.7228049307958478,0.5845588235294118,0.5845588235294118
compound_trained_to_compounds,Compound-trained → compounds,cities,19,304,0.9998701523545706,0.9901315789473685,0.9901315789473684
compound_trained_to_compounds,Compound-trained → compounds,sp_en_trans,18,288,1.0,0.9965277777777778,0.9965277777777778
compound_trained_to_compounds,Compound-trained → compounds,inventors,25,400,0.9853750000000001,0.9375,0.9375
compound_trained_to_compounds,Compound-trained → compounds,element_symb,21,336,0.9957482993197279,0.9642857142857143,0.9642857142857142
compound_trained_to_compounds,Compound-trained → compounds,animal_class,17,272,0.9992971453287198,0.9889705882352942,0.9889705882352942
